timestamp,symbol,action,price,quantity,reason,mode,outcome,pnl
2026-07-13T14:44:59.999Z,BTCUSDT,BUY,62619.14,0.001,[bullish-cross-9/21-5m] Fast 9MA (62489.54) crossed above slow 21MA (62484.01) — momentum turning up.,replay-raw,loss,-0.2493
2026-07-13T16:04:59.999Z,BTCUSDT,SELL,62604.01,0.001,[bearish-cross-9/21-5m] Fast 9MA (62689.92) crossed below slow 21MA (62690.28) — momentum turning down.,replay-raw,win,0.2304
2026-07-13T19:14:59.999Z,BTCUSDT,BUY,62073.04,0.001,[bullish-cross-9/21-5m] Fast 9MA (62013.89) crossed above slow 21MA (62007.31) — momentum turning up.,replay-raw,loss,-0.0601
2026-07-13T21:14:59.999Z,BTCUSDT,SELL,62108.00,0.001,[bearish-cross-9/21-5m] Fast 9MA (62172.76) crossed below slow 21MA (62187.53) — momentum turning down.,replay-raw,loss,-0.4121
2026-07-13T22:24:59.999Z,BTCUSDT,BUY,62154.74,0.001,[bullish-cross-9/21-5m] Fast 9MA (62109.79) crossed above slow 21MA (62109.34) — momentum turning up.,replay-raw,loss,-0.2593
2026-07-13T23:04:59.999Z,BTCUSDT,SELL,61965.28,0.001,[bearish-cross-9/21-5m] Fast 9MA (62048.62) crossed below slow 21MA (62066.37) — momentum turning down.,replay-raw,loss,-0.8563
2026-07-13T23:44:59.999Z,BTCUSDT,BUY,62122.04,0.001,[bullish-cross-9/21-5m] Fast 9MA (62106.62) crossed above slow 21MA (62102.07) — momentum turning up.,replay-raw,win,0.0015
2026-07-14T02:29:59.999Z,BTCUSDT,SELL,62384.00,0.001,[bearish-cross-9/21-5m] Fast 9MA (62494.83) crossed below slow 21MA (62501.94) — momentum turning down.,replay-raw,loss,-0.4370
2026-07-14T03:09:59.999Z,BTCUSDT,BUY,62483.99,0.001,[bullish-cross-9/21-5m] Fast 9MA (62512.58) crossed above slow 21MA (62511.33) — momentum turning up.,replay-raw,loss,-0.1692
2026-07-14T03:29:59.999Z,BTCUSDT,SELL,62469.47,0.001,[bearish-cross-9/21-5m] Fast 9MA (62481.86) crossed below slow 21MA (62491.71) — momentum turning down.,replay-raw,loss,-0.5810
